name,brand,volume_ml,ml_sold,ml_left,pct_sold,cost_sitting,pct_of_total,revenue_potential,last_sale,days_since_sale,stalled
Encens Froid II,Maison Aurelle,100,15,85,15.0,2109.7,9.7,5222.4,2026-09-10,0,False
Safran Doré II,Atelier Nocturne,100,10,90,10.0,2088.0,9.6,4797.9,2026-08-04,37,False
Ambre Sauvage II,Verdant,100,20,80,20.0,1888.8,8.7,3602.4,2026-07-10,62,True
Tonka Brune II,Maison Aurelle,100,13,87,13.0,1745.22,8.0,4155.99,2026-08-31,10,False
Santal Blanc II,Oud & Co,100,15,85,15.0,1608.2,7.4,3948.25,2026-08-25,16,False
Tabac Doux II,Casa Vetiver,100,34,66,34.0,1184.04,5.4,2495.46,2026-08-29,12,False
Oud Impérial II,Atelier Nocturne,100,10,90,10.0,1173.6,5.4,2481.3,2026-07-31,41,False
Poivre Rose II,Atelier Nocturne,100,25,75,25.0,1125.75,5.2,2164.5,2026-09-10,0,False
Jasmin Nuit II,Oud & Co,100,15,85,15.0,993.65,4.6,2125.0,2026-08-25,16,False
Cade Fumé,Atelier Nocturne,75,33,42,44.0,949.62,4.4,2390.22,2026-07-08,64,True
Pêche Ambrée,Oud & Co,100,58,42,58.0,883.68,4.1,1834.98,2026-07-05,67,True
Fig Verte II,Casa Vetiver,75,3,72,4.0,867.6,4.0,1815.12,2026-09-10,0,False
Cuir Velours II,Oud & Co,100,28,72,28.0,852.48,3.9,1681.2,2026-09-02,8,False
Patchouli 7 II,Verdant,100,72,28,72.0,559.72,2.6,1275.12,2026-09-10,0,False
Iris Gris II,Atelier Nocturne,100,54,46,54.0,479.78,2.2,1134.36,2026-09-10,0,False
Rose Noire II,Oud & Co,50,8,42,16.0,454.86,2.1,1041.18,2026-08-04,37,False
Cedar Line,Verdant,100,75,25,75.0,363.25,1.7,803.5,2026-09-10,0,False
Bois Sec II,Maison Aurelle,100,58,42,58.0,323.4,1.5,740.88,2026-09-10,0,False
Héliotrope II,Atelier Nocturne,50,33,17,66.0,305.32,1.4,709.07,2026-09-05,5,False
Cedar Line II,Atelier Nocturne,100,75,25,75.0,241.0,1.1,592.5,2026-09-10,0,False
Santal Blanc,Atelier Nocturne,100,78,22,78.0,235.18,1.1,593.78,2026-07-24,48,False
Lavande Noire II,Casa Vetiver,100,91,9,91.0,226.8,1.0,530.19,2026-09-04,6,False
Vetiver Fumé,Oud & Co,100,88,12,88.0,169.8,0.8,372.0,2026-09-10,0,False
Musc Pâle,Verdant,100,93,7,93.0,117.32,0.5,288.61,2026-09-09,1,False
Benjoin Clair II,Oud & Co,100,95,5,95.0,96.1,0.4,190.3,2026-08-31,10,False
Cuir Velours,Verdant,100,89,11,89.0,71.94,0.3,165.11,2026-09-09,1,False
Cardamome II,Verdant,50,43,7,86.0,63.98,0.3,124.95,2026-09-10,0,False
Tonka Brune,Maison Aurelle,100,98,2,98.0,49.66,0.2,114.94,2026-09-10,0,False
Gingembre Vif II,Maison Aurelle,75,73,2,97.3,48.34,0.2,93.86,2026-08-31,10,False
Gingembre Vif,Maison Aurelle,50,48,2,96.0,43.84,0.2,93.96,2026-07-03,69,True
Héliotrope,Atelier Nocturne,75,73,2,97.3,41.36,0.2,96.42,2026-07-05,67,True
Neroli Solaire II,Maison Aurelle,50,48,2,96.0,40.86,0.2,98.88,2026-09-06,4,False
Musc Pâle II,Atelier Nocturne,75,71,4,94.7,39.32,0.2,94.64,2026-09-07,3,False
Menthe Sauvage II,Verdant,100,98,2,98.0,35.84,0.2,77.64,2026-08-18,23,False
Mimosa Tendre II,Oud & Co,100,98,2,98.0,35.8,0.2,71.14,2026-09-10,0,False
Vetiver Fumé II,Oud & Co,100,98,2,98.0,34.14,0.2,88.68,2026-09-10,0,False
Ambrette,Verdant,100,98,2,98.0,30.6,0.1,63.88,2026-08-08,33,False
Ambre Sauvage,Casa Vetiver,100,98,2,98.0,30.0,0.1,74.64,2026-09-03,7,False
Oud Impérial,Verdant,100,98,2,98.0,27.58,0.1,70.66,2026-07-07,65,True
Safran Doré,Casa Vetiver,75,74,1,98.7,22.78,0.1,47.09,2026-09-10,0,False
Tabac Doux,Oud & Co,100,98,2,98.0,20.78,0.1,39.9,2026-07-28,44,False
Menthe Sauvage,Maison Aurelle,75,74,1,98.7,19.0,0.1,46.13,2026-09-07,3,False
Lavande Noire,Oud & Co,50,49,1,98.0,17.28,0.1,41.29,2026-09-10,0,False
Patchouli 7,Oud & Co,100,98,2,98.0,16.22,0.1,38.84,2026-09-01,9,False
Mimosa Tendre,Atelier Nocturne,100,98,2,98.0,14.76,0.1,28.18,2026-09-10,0,False
Neroli Solaire,Atelier Nocturne,100,99,1,99.0,13.61,0.1,28.7,2026-08-05,36,False
Ambrette II,Atelier Nocturne,50,49,1,98.0,10.58,0.0,24.37,2026-09-06,4,False
Cardamome,Maison Aurelle,100,99,1,99.0,9.36,0.0,22.88,2026-09-10,0,False
Pêche Ambrée II,Casa Vetiver,100,99,1,99.0,7.48,0.0,14.99,2026-09-10,0,False
Bois Sec,Maison Aurelle,100,99,1,99.0,6.39,0.0,16.61,2026-07-18,54,False
