id,order_id,bottle_id,ml,price,cost,status,created_at
1,1,25,10,520.9,208.55,paid,2026-07-12
2,2,20,3,186.87,76.91,paid,2026-06-17
3,3,15,10,328.3,160.65,pending,2026-09-05
4,4,23,3,147.96,68.15,pending,2026-08-20
5,4,10,3,95.16,48.02,paid,2026-08-20
6,4,10,5,158.6,78.9,pending,2026-08-20
7,5,3,5,216.8,98.35,pending,2026-08-27
8,6,28,10,149.3,73.85,pending,2026-08-22
9,7,12,5,143.8,64.2,paid,2026-09-09
10,8,28,5,74.65,37.5,paid,2026-08-17
11,9,23,3,147.96,68.15,paid,2026-08-06
12,9,17,10,190.1,91.45,paid,2026-08-06
13,10,19,3,47.25,23.9,pending,2026-09-03
14,10,27,10,153.2,80.55,paid,2026-09-03
15,10,15,3,98.49,49.22,paid,2026-09-03
16,11,11,3,107.46,47.54,pending,2026-09-09
17,11,6,5,255.05,117.4,paid,2026-09-09
18,12,23,10,493.2,223.75,paid,2026-09-04
19,12,17,30,570.3,263.45,paid,2026-09-04
20,13,23,5,246.6,112.45,pending,2026-09-06
21,14,13,10,321.4,149.05,paid,2026-09-07
22,15,18,5,77.6,38.85,paid,2026-09-09
23,15,24,5,167.75,81.0,paid,2026-09-09
24,16,4,10,301.1,130.75,paid,2026-09-07
25,17,7,5,111.05,51.9,paid,2026-09-05
26,18,27,5,76.6,40.85,paid,2026-09-04
27,19,5,5,92.7,47.2,bonus,2026-07-21
28,19,18,5,77.6,38.85,bonus,2026-07-21
29,20,10,5,158.6,78.9,paid,2026-08-30
30,20,6,30,1530.3,690.05,paid,2026-08-30
31,21,16,3,68.1,34.22,paid,2026-08-29
32,21,2,5,167.55,76.65,pending,2026-08-29
33,22,18,10,155.2,76.55,paid,2026-08-06
34,23,10,10,317.2,156.65,bonus,2026-07-27
35,23,10,5,158.6,78.9,paid,2026-07-27
36,24,22,3,157.56,71.36,paid,2026-07-11
37,25,15,10,328.3,160.65,paid,2026-09-07
38,25,2,5,167.55,76.65,pending,2026-09-07
39,26,26,10,151.4,69.15,paid,2026-08-26
40,27,21,3,104.52,42.98,paid,2026-07-24
41,28,20,10,622.9,252.95,paid,2026-07-17
42,29,10,10,317.2,156.65,bonus,2026-08-04
43,29,17,5,95.05,46.3,paid,2026-08-04
44,29,20,3,186.87,76.91,paid,2026-08-04
45,30,8,30,1448.4,573.95,pending,2026-08-09
46,31,27,3,45.96,25.19,paid,2026-08-13
47,31,25,3,156.27,63.59,paid,2026-08-13
48,31,15,10,328.3,160.65,paid,2026-08-13
49,32,3,5,216.8,98.35,paid,2026-08-14
50,32,11,5,179.1,78.1,pending,2026-08-14
51,33,22,10,525.2,234.45,pending,2026-08-17
52,34,9,5,218.2,110.3,bonus,2026-08-23
53,35,22,10,525.2,234.45,paid,2026-08-04
54,36,25,5,260.45,104.85,paid,2026-07-19
55,36,2,5,167.55,76.65,paid,2026-07-19
56,37,4,3,90.33,40.25,paid,2026-08-03
57,37,26,5,75.7,35.15,paid,2026-08-03
58,38,8,30,1448.4,573.95,pending,2026-08-20
59,39,16,30,681.0,321.05,paid,2026-08-14
60,40,16,5,113.5,55.9,paid,2026-08-30
61,40,13,5,160.7,75.1,paid,2026-08-30
62,41,25,10,520.9,208.55,paid,2026-09-01
63,42,10,10,317.2,156.65,pending,2026-09-04
64,43,15,5,164.15,80.9,paid,2026-08-22
65,44,28,5,74.65,37.5,paid,2026-08-20
66,45,2,5,167.55,76.65,paid,2026-08-21
67,45,30,10,246.3,114.25,paid,2026-08-21
68,46,2,3,100.53,46.67,bonus,2026-08-27
69,46,11,10,358.2,155.05,pending,2026-08-27
70,47,1,10,339.4,149.75,paid,2026-08-13
71,47,21,30,1045.2,408.65,paid,2026-08-13
72,48,13,10,321.4,149.05,pending,2026-09-04
73,48,28,10,149.3,73.85,paid,2026-09-04
74,48,11,10,358.2,155.05,pending,2026-09-04
75,49,8,10,482.8,194.95,pending,2026-08-16
76,50,25,5,260.45,104.85,pending,2026-07-05
77,51,2,5,167.55,76.65,paid,2026-08-01
78,52,17,5,95.05,46.3,paid,2026-08-10
79,53,28,5,74.65,37.5,paid,2026-08-25
80,53,16,10,227.0,110.65,paid,2026-08-25
81,54,22,3,157.56,71.36,pending,2026-08-23
82,55,15,30,984.9,471.05,bonus,2026-07-31
83,56,9,5,218.2,110.3,paid,2026-08-02
84,56,13,10,321.4,149.05,paid,2026-08-02
85,56,13,5,160.7,75.1,paid,2026-08-02
86,57,13,5,160.7,75.1,paid,2026-08-01
87,57,22,10,525.2,234.45,bonus,2026-08-01
88,57,30,10,246.3,114.25,paid,2026-08-01
89,58,8,10,482.8,194.95,paid,2026-07-31
90,59,21,3,104.52,42.98,pending,2026-07-12
91,59,2,5,167.55,76.65,pending,2026-07-12
92,59,3,30,1300.8,575.75,paid,2026-07-12
93,60,29,30,801.3,382.85,paid,2026-08-17
94,60,30,5,123.15,57.7,paid,2026-08-17
95,61,26,3,45.42,21.77,bonus,2026-08-25
96,62,22,30,1575.6,692.45,bonus,2026-07-13
97,62,26,5,75.7,35.15,paid,2026-07-13
98,62,13,3,96.42,45.74,paid,2026-07-13
99,63,9,5,218.2,110.3,pending,2026-08-22
100,63,12,3,86.28,39.2,paid,2026-08-22
101,63,1,10,339.4,149.75,bonus,2026-08-22
102,64,21,10,348.4,139.85,pending,2026-08-05
103,65,2,30,1005.3,445.55,paid,2026-08-02
104,66,5,5,92.7,47.2,paid,2026-08-27
105,66,24,10,335.5,160.85,paid,2026-08-27
106,67,5,10,185.4,93.25,paid,2026-09-08
107,67,27,5,76.6,40.85,paid,2026-09-08
108,67,9,3,130.92,66.86,paid,2026-09-08
